insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (188, 56, 'Descripcion:-VQAANW', 'Comentario:-FGTFWX', 4027.86, '2019-07-02', '2019-08-31', '2019-11-10');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (85, 95, 'Descripcion:-PNSMFW', 'Comentario:-PLJQPY', 8908.41, '2019-06-23', '2019-08-10', '2019-12-26');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (203, 64, 'Descripcion:-LEYLQL', 'Comentario:-KCFRMS', 14379.0, '2019-04-05', '2019-09-19', '2019-11-02');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (139, 12, 'Descripcion:-WQYADX', 'Comentario:-EZWWVY', 5350.41, '2019-01-30', '2019-09-17', '2019-11-04');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (81, 80, 'Descripcion:-SDWPXQ', 'Comentario:-KBGTAH', 1955.31, '2019-07-04', '2019-10-23', '2019-11-10');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (152, 5, 'Descripcion:-IHBRLA', 'Comentario:-CKYSUD', 10573.3, '2019-06-11', '2019-08-07', '2019-12-01');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (173, 34, 'Descripcion:-XYFHKT', 'Comentario:-HEIRWL', 3122.87, '2019-07-12', '2019-08-08', '2019-11-15');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (111, 73, 'Descripcion:-GYNAGY', 'Comentario:-JFYCFN', 12704.0, '2019-05-27', '2019-10-18', '2019-12-11');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (175, 57, 'Descripcion:-MVSLKD', 'Comentario:-VBHWBG', 9770.47, '2019-06-02', '2019-08-15', '2019-12-19');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (129, 39, 'Descripcion:-DNFMYY', 'Comentario:-LCRPJE', 11884.14, '2019-03-25', '2019-09-08', '2019-12-27');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (11, 48, 'Descripcion:-VXUAPY', 'Comentario:-ORJOUS', 7287.81, '2019-03-06', '2019-10-18', '2019-11-14');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (187, 4, 'Descripcion:-IMAFGN', 'Comentario:-UKLXBM', 9759.78, '2019-04-09', '2019-08-20', '2019-12-12');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (205, 76, 'Descripcion:-HMWCON', 'Comentario:-ZFPDXU', 4833.04, '2019-06-03', '2019-09-10', '2019-12-23');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (87, 75, 'Descripcion:-LHTWEN', 'Comentario:-NQNWZL', 4476.61, '2019-04-19', '2019-08-27', '2019-11-30');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (201, 97, 'Descripcion:-GOAJZV', 'Comentario:-KIRBXG', 1499.8, '2019-05-22', '2019-08-04', '2019-11-10');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (143, 22, 'Descripcion:-QHFJKS', 'Comentario:-DSIMGW', 14950.99, '2019-04-27', '2019-09-17', '2019-11-12');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (48, 80, 'Descripcion:-TDHKSD', 'Comentario:-EGGIQO', 4135.6, '2019-06-06', '2019-09-15', '2019-12-27');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (172, 77, 'Descripcion:-FRVEAQ', 'Comentario:-UGPQHH', 13385.32, '2019-05-14', '2019-10-21', '2019-12-26');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (30, 68, 'Descripcion:-UOPXMI', 'Comentario:-RMVRRV', 8432.08, '2019-05-15', '2019-09-06', '2019-12-28');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (31, 16, 'Descripcion:-ERWGBY', 'Comentario:-KZVSVU', 2612.96, '2019-02-01', '2019-10-23', '2019-11-27');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (201, 100, 'Descripcion:-RFVGMU', 'Comentario:-IZTZBL', 10047.75, '2019-07-30', '2019-08-13', '2019-11-06');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (99, 85, 'Descripcion:-RHLQRJ', 'Comentario:-JOXFUV', 13643.99, '2019-04-21', '2019-09-19', '2019-11-20');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (38, 2, 'Descripcion:-EJGLNM', 'Comentario:-HWJCAD', 1652.65, '2019-05-21', '2019-08-09', '2019-12-02');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (75, 86, 'Descripcion:-YKUAHO', 'Comentario:-FYYAED', 1593.88, '2019-05-04', '2019-09-15', '2019-11-29');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (137, 35, 'Descripcion:-RTQLQQ', 'Comentario:-KSBXVL', 7624.01, '2019-02-07', '2019-10-12', '2019-11-21');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (159, 96, 'Descripcion:-VPVKJC', 'Comentario:-HOOJBB', 14327.32, '2019-07-07', '2019-09-06', '2019-11-03');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (104, 88, 'Descripcion:-WUJKLB', 'Comentario:-OWFQCR', 7837.29, '2019-04-02', '2019-09-10', '2019-12-19');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (87, 31, 'Descripcion:-PALMRH', 'Comentario:-INWHHL', 5949.17, '2019-02-22', '2019-08-16', '2019-12-17');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (46, 67, 'Descripcion:-CGMDXS', 'Comentario:-KWQOEV', 8767.68, '2019-07-08', '2019-09-23', '2019-11-03');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (68, 66, 'Descripcion:-AKTUPF', 'Comentario:-AMGLNP', 10265.6, '2019-06-02', '2019-08-28', '2019-12-26');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (147, 65, 'Descripcion:-PJTRTX', 'Comentario:-QGUNME', 4667.78, '2019-03-17', '2019-10-05', '2019-11-25');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (165, 85, 'Descripcion:-UVQRGB', 'Comentario:-ZXNWIF', 12034.27, '2019-01-01', '2019-09-11', '2019-11-06');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (88, 26, 'Descripcion:-RTQYXT', 'Comentario:-XSVKHO', 13779.97, '2019-02-03', '2019-09-05', '2019-12-10');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (189, 27, 'Descripcion:-RDEJAH', 'Comentario:-CGGWUX', 9166.35, '2019-06-30', '2019-09-27', '2019-11-02');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (136, 89, 'Descripcion:-NQFUHX', 'Comentario:-XXQQZE', 11356.67, '2019-05-14', '2019-08-22', '2019-12-10');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (191, 6, 'Descripcion:-PUTIOE', 'Comentario:-CHDURU', 12667.21, '2019-01-14', '2019-09-06', '2019-12-26');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (205, 57, 'Descripcion:-KRAWZO', 'Comentario:-LEABHM', 9753.31, '2019-05-13', '2019-08-16', '2019-12-30');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (166, 2, 'Descripcion:-GDZNWO', 'Comentario:-PHZNHZ', 4081.3, '2019-02-20', '2019-08-30', '2019-11-21');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (106, 34, 'Descripcion:-OFTGZZ', 'Comentario:-AWQUOJ', 14734.41, '2019-01-26', '2019-09-02', '2019-12-13');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (22, 48, 'Descripcion:-TXZMQZ', 'Comentario:-DGXFFX', 12192.65, '2019-05-07', '2019-08-18', '2019-12-19');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (158, 33, 'Descripcion:-CNHBET', 'Comentario:-UUQKLG', 3632.34, '2019-01-21', '2019-08-23', '2019-12-28');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (180, 10, 'Descripcion:-XFMTOT', 'Comentario:-NZPHXH', 5350.62, '2019-03-29', '2019-08-06', '2019-11-16');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (119, 42, 'Descripcion:-SAIFUQ', 'Comentario:-CIDKVA', 5112.5, '2019-05-26', '2019-08-16', '2019-11-30');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (88, 23, 'Descripcion:-YIDKMI', 'Comentario:-VWDHAV', 13109.9, '2019-07-26', '2019-08-06', '2019-11-01');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (201, 29, 'Descripcion:-DMZXYZ', 'Comentario:-JZEAEZ', 11820.97, '2019-06-26', '2019-08-20', '2019-11-12');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (55, 49, 'Descripcion:-BEXXSA', 'Comentario:-NRWJCP', 621.33, '2019-05-20', '2019-09-14', '2019-10-31');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (49, 76, 'Descripcion:-ZOOWPH', 'Comentario:-WSBJNR', 5287.16, '2019-07-22', '2019-08-19', '2019-12-19');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (137, 98, 'Descripcion:-KKSLKL', 'Comentario:-MMCWRS', 14315.51, '2019-07-15', '2019-10-17', '2019-12-03');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (210, 39, 'Descripcion:-KBGNTX', 'Comentario:-EBGODV', 1759.76, '2019-07-04', '2019-10-07', '2019-12-20');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (195, 2, 'Descripcion:-RBQSVU', 'Comentario:-NMORUK', 5274.26, '2019-07-12', '2019-08-21', '2019-11-26');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (66, 17, 'Descripcion:-LCEXCE', 'Comentario:-QZNCMG', 6853.35, '2019-01-04', '2019-10-16', '2019-11-08');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (32, 15, 'Descripcion:-FDSAEL', 'Comentario:-FPNZGZ', 336.65, '2019-01-24', '2019-09-27', '2019-11-20');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (125, 95, 'Descripcion:-IRSDQV', 'Comentario:-RLEKSL', 986.53, '2019-06-14', '2019-08-15', '2019-11-26');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (168, 98, 'Descripcion:-QOZGPB', 'Comentario:-QUCGBJ', 4392.34, '2019-02-06', '2019-09-20', '2019-11-04');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (204, 90, 'Descripcion:-GPZWAV', 'Comentario:-SCJTPY', 10546.02, '2019-03-14', '2019-08-02', '2019-12-19');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (137, 19, 'Descripcion:-CSOKEH', 'Comentario:-TCKXFM', 14635.92, '2019-04-19', '2019-09-05', '2019-11-11');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (94, 94, 'Descripcion:-ETSTTW', 'Comentario:-BSFZNF', 1907.29, '2019-01-31', '2019-09-15', '2019-12-09');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (25, 68, 'Descripcion:-HTLFJU', 'Comentario:-LZBOXU', 13025.13, '2019-04-26', '2019-09-10', '2019-12-07');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (91, 6, 'Descripcion:-MGUEWN', 'Comentario:-GQAREH', 1254.1, '2019-04-13', '2019-09-24', '2019-11-08');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (58, 7, 'Descripcion:-PWONUU', 'Comentario:-NTVKVC', 12046.92, '2019-02-21', '2019-10-21', '2019-11-08');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (89, 89, 'Descripcion:-PEMSGZ', 'Comentario:-KYTGEQ', 6702.04, '2019-01-25', '2019-09-08', '2019-11-25');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (184, 8, 'Descripcion:-HDBURH', 'Comentario:-FBIZUR', 543.41, '2019-04-29', '2019-10-15', '2019-11-13');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (41, 41, 'Descripcion:-VQLPDV', 'Comentario:-AFVQJI', 234.41, '2019-07-28', '2019-08-13', '2019-11-09');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (135, 56, 'Descripcion:-FAGOVA', 'Comentario:-DIQSXT', 4762.09, '2019-07-30', '2019-09-07', '2019-11-17');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (68, 52, 'Descripcion:-HOGHWZ', 'Comentario:-CPORXI', 3399.43, '2019-06-25', '2019-08-06', '2019-12-19');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (105, 100, 'Descripcion:-PFHTZD', 'Comentario:-GOBEAL', 14431.72, '2019-01-13', '2019-08-19', '2019-12-29');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (116, 37, 'Descripcion:-XKRFIC', 'Comentario:-ZWODCQ', 8105.13, '2019-05-10', '2019-09-17', '2019-12-09');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (198, 90, 'Descripcion:-AGFYRX', 'Comentario:-RDIQWP', 5449.01, '2019-02-15', '2019-08-11', '2019-12-14');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (98, 19, 'Descripcion:-JDEIDI', 'Comentario:-NQUCXF', 13400.96, '2019-06-18', '2019-08-04', '2019-11-27');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (7, 69, 'Descripcion:-KWRABV', 'Comentario:-BBPBYV', 1918.51, '2019-06-25', '2019-10-05', '2019-11-01');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (26, 12, 'Descripcion:-TQPYJH', 'Comentario:-ZWACXY', 5358.92, '2019-06-26', '2019-08-22', '2019-11-20');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (210, 9, 'Descripcion:-NFJQCA', 'Comentario:-UIGPFA', 4508.0, '2019-03-18', '2019-08-01', '2019-12-12');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (96, 22, 'Descripcion:-SQLIEL', 'Comentario:-HJMWIN', 8275.06, '2019-06-01', '2019-08-13', '2019-12-08');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (20, 90, 'Descripcion:-SOAHRX', 'Comentario:-HLXPMZ', 1500.49, '2019-02-28', '2019-09-10', '2019-12-10');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (26, 85, 'Descripcion:-JICEBA', 'Comentario:-FMGDUP', 3566.25, '2019-05-31', '2019-10-13', '2019-12-09');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (133, 66, 'Descripcion:-IGPGWE', 'Comentario:-SFUGVA', 2569.59, '2019-05-28', '2019-08-28', '2019-12-02');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (66, 50, 'Descripcion:-LUOERI', 'Comentario:-UOETWE', 14458.2, '2019-04-16', '2019-10-04', '2019-11-08');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (121, 2, 'Descripcion:-UVKRUR', 'Comentario:-RTDBDS', 7761.22, '2019-05-24', '2019-09-11', '2019-11-15');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (58, 44, 'Descripcion:-FOCULD', 'Comentario:-KXIDNH', 4672.1, '2019-05-31', '2019-10-25', '2019-12-10');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (150, 29, 'Descripcion:-HOCJRU', 'Comentario:-JLISJJ', 11069.78, '2019-06-06', '2019-10-10', '2019-11-22');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (65, 18, 'Descripcion:-CONTOL', 'Comentario:-HVTRWW', 4863.88, '2019-02-25', '2019-08-13', '2019-10-31');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (33, 56, 'Descripcion:-ZADJXM', 'Comentario:-UBJVNV', 10713.71, '2019-07-09', '2019-09-28', '2019-11-08');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (193, 52, 'Descripcion:-VPXXTS', 'Comentario:-FYDWBW', 1720.42, '2019-07-22', '2019-09-05', '2019-12-18');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (62, 21, 'Descripcion:-QVYRET', 'Comentario:-HBOVXV', 5516.29, '2019-03-31', '2019-10-30', '2019-12-23');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (75, 43, 'Descripcion:-KDQWGX', 'Comentario:-TMPSMF', 10613.87, '2019-06-19', '2019-08-24', '2019-12-21');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (44, 60, 'Descripcion:-EACNVJ', 'Comentario:-WSVSKW', 3792.18, '2019-07-18', '2019-09-09', '2019-12-11');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (145, 63, 'Descripcion:-YXFZYQ', 'Comentario:-DDLVQU', 311.1, '2019-01-01', '2019-09-26', '2019-11-02');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (130, 65, 'Descripcion:-KMBOYB', 'Comentario:-IQWBWN', 7434.41, '2019-05-11', '2019-09-07', '2019-11-01');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (172, 23, 'Descripcion:-EXGCZC', 'Comentario:-HBDUWJ', 1001.52, '2019-04-13', '2019-09-24', '2019-12-23');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (207, 85, 'Descripcion:-BXRNIV', 'Comentario:-QCUNAB', 6369.25, '2019-05-09', '2019-09-27', '2019-11-05');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (149, 76, 'Descripcion:-XRSMPC', 'Comentario:-AAHDJK', 2527.89, '2019-01-13', '2019-08-25', '2019-11-10');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (140, 5, 'Descripcion:-BPGMTG', 'Comentario:-RMMKHH', 11137.01, '2019-02-11', '2019-10-22', '2019-11-14');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (155, 82, 'Descripcion:-GGOKSS', 'Comentario:-ZFYMEX', 4207.82, '2019-07-26', '2019-08-19', '2019-12-15');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (44, 4, 'Descripcion:-LFIWPY', 'Comentario:-XZIGPV', 7298.55, '2019-04-01', '2019-08-31', '2019-11-15');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (118, 17, 'Descripcion:-IVTTXW', 'Comentario:-MZZOCM', 9934.91, '2019-01-16', '2019-09-30', '2019-11-03');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (29, 77, 'Descripcion:-JUFPNP', 'Comentario:-ETOMAE', 3617.7, '2019-04-18', '2019-09-04', '2019-11-17');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (22, 14, 'Descripcion:-NJKDWC', 'Comentario:-XYFPCX', 111.56, '2019-03-22', '2019-10-10', '2019-11-10');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (139, 8, 'Descripcion:-WPFZPJ', 'Comentario:-YLTGGO', 4745.89, '2019-05-10', '2019-10-25', '2019-12-06');
